_key,appid,name,developer,publisher,score_rank,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,divisão,initialprice,discount,ccu,,
326840,326840,Heart&Slash,AHEARTFULOFGAMES,AHEARTFULOFGAMES,,523,423,100,0,"20,000 .. 50,000",326,0,326,0,1499,"14,99",1499,0,1,,
327510,327510,WASTED,Mr. Podunkian,Adult Swim Games,,1107,843,264,0,"100,000 .. 200,000",126,0,160,0,1299,"12,99",1299,0,3,,
327670,327670,Ironcast,Dreadbit,Ripstone,,841,643,198,0,"50,000 .. 100,000",355,0,505,0,1499,"14,99",1499,0,0,,
327880,327880,Sublevel Zero Redux,Sigtrap,Sigtrap,,496,438,58,0,"20,000 .. 50,000",264,0,264,0,1499,"14,99",1499,0,1,,
328510,328510,Monsters and Monocles,Retro Dreamer,Retro Dreamer,,100,78,22,0,"0 .. 20,000",37,0,37,0,1499,"14,99",1499,0,0,,
328760,328760,SanctuaryRPG: Black Edition,Black Shell Media,Plug In Digital,,1499,1380,119,0,"100,000 .. 200,000",343,0,373,0,799,"7,99",799,0,6,,
329240,329240,The Weaponographist,Puuba,Puuba,,80,58,22,0,"0 .. 20,000",213,0,213,0,999,"9,99",999,0,0,,
329770,329770,4089: Ghost Within,Phr00t's Software,Phr00t's Software,,101,59,42,0,"0 .. 20,000",142,0,142,0,599,"5,99",599,0,0,,
329970,329970,KeeperRL,Electric Succubi,Electric Succubi,,944,839,105,0,"100,000 .. 200,000",10,0,10,0,1999,"19,99",1999,0,14,,
330020,330020,Children of Morta,Dead Mage,11 bit studios,,13056,11852,1204,0,"1,000,000 .. 2,000,000",447,65,371,84,747,"21,99",2199,66,907,,
331440,331440,bit Dungeon II,Kinto Games LLC,Kinto Games LLC,,2100,1732,368,0,"100,000 .. 200,000",241,1,400,1,399,"3,99",399,0,1,,
332270,332270,Gunmetal Arcadia,Minor Key Games,Minor Key Games,,45,35,10,0,"0 .. 20,000",12,0,12,0,999,"9,99",999,0,0,,
332400,332400,Girlfriend Rescue,Aldorlea Games,Aldorlea Games,,201,170,31,0,"20,000 .. 50,000",206,0,228,0,499,"4,99",499,0,2,,
332530,332530,Shutshimi,Neon Deity Games,Choice Provisions,,158,104,54,0,"50,000 .. 100,000",106,0,212,0,499,"4,99",499,0,1,,
333760,333760,Vintage Year,Nooner Bear Studio LLC,Clique Games,,88,70,18,0,"20,000 .. 50,000",145,0,145,0,399,"3,99",399,0,0,,
334280,334280,Lost Sea,Eastasiasoft Limited,Eastasiasoft Limited,,63,39,24,0,"0 .. 20,000",184,0,184,0,1499,"14,99",1499,0,0,,
334420,334420,Out There: Ω Edition,"Mi-Clos Studio, FibreTigre","Mi-Clos Studio, WhisperGames, Fractale",,1553,1180,373,0,"200,000 .. 500,000",228,0,237,0,1499,"14,99",1499,0,5,,
335620,335620,Star Traders: Frontiers,Trese Brothers,Trese Brothers,,3035,2587,448,0,"100,000 .. 200,000",254,0,494,0,1499,"14,99",1499,0,76,,
335830,335830,Distant Star: Revenant Fleet,Blazing Griffin,Blazing Griffin,,288,190,98,0,"50,000 .. 100,000",0,0,0,0,999,"9,99",999,0,0,,
336940,336940,Basingstoke,Puppygames,Puppygames,,330,231,99,0,"20,000 .. 50,000",188,0,222,0,3499,"34,99",3499,0,1,,
337290,337290,Still Not Dead,Greg Sergeant,Flying Interactive,,157,124,33,0,"20,000 .. 50,000",286,0,290,0,499,"4,99",499,0,1,,
337320,337320,Paint the Town Red,South East Games,South East Games,,18640,17757,883,0,"500,000 .. 1,000,000",1018,0,804,0,1999,"19,99",1999,0,411,,
338190,338190,Just Get Through,Retrific,Retrific,,214,185,29,0,"20,000 .. 50,000",134,0,247,0,499,"4,99",499,0,0,,
338320,338320,Pixel Heroes: Byte & Magic,The Bitfather,Headup,,483,372,111,0,"50,000 .. 100,000",238,0,285,0,999,"9,99",999,0,6,,
339250,339250,Winged Sakura: Endless Dream,WINGED SAKURA GAMES,WINGED SAKURA GAMES,,23,16,7,0,"0 .. 20,000",0,0,0,0,999,"9,99",999,0,2,,
