_key,appid,name,developer,publisher,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,,,
1239690,1239690,Retrowave,RewindApp,RewindApp,7836,7449,387,0,"100,000 .. 200,000",202,11,147,11,149,299,50,94,,,
485610,485610,Ball 3D: Soccer Online,Unusualsoft,Unusualsoft,7620,6314,1306,0,"500,000 .. 1,000,000",233,0,73,0,49,99,51,136,,,
353380,353380,Steam Link,,Anima Locus,7573,5797,1776,0,"500,000 .. 1,000,000",0,0,0,0,0,0,0,0,,,
17430,17430,Need for Speed Undercover,EA Black Box,Electronic Arts,7465,5562,1903,0,"1,000,000 .. 2,000,000",381,0,299,0,0,0,0,46,,,
655500,655500,MX Bikes,PiBoSo,PiBoSo,7241,6796,445,0,"200,000 .. 500,000",10177,288,15585,288,3499,3499,0,1144,,,
1048540,1048540,Kao the Kangaroo: Round 2 (2003 re-release),Tate Multimedia,Tate Multimedia,7186,6733,453,0,"500,000 .. 1,000,000",216,0,104,0,199,199,0,39,,,
1029550,1029550,Torque Drift,Grease Monkey Games,Grease Monkey Games,6996,5234,1762,0,"1,000,000 .. 2,000,000",1014,0,44,0,0,0,0,229,,,
263980,263980,Out There Somewhere,MiniBoss,Senpai Studios,6865,6388,477,0,"200,000 .. 500,000",169,0,151,0,49,99,51,19,,,
40990,40990,Mafia,Illusion Softworks,2K,6781,6090,691,0,"500,000 .. 1,000,000",502,0,454,0,494,1499,67,112,,,
233610,233610,Distance,Refract,Refract,6478,6016,462,0,"200,000 .. 500,000",733,0,178,0,2499,2499,0,16,,,
232010,232010,Euro Truck Simulator,SCS Software,SCS Software,6409,5274,1135,0,"1,000,000 .. 2,000,000",166,11,58,11,499,499,0,18,,,
253030,253030,Race The Sun,Flippfly LLC,Flippfly LLC,6169,5787,382,0,"500,000 .. 1,000,000",147,0,114,0,999,999,0,12,,,
921630,921630,音灵 INVAXION,Nanjing AQUATRAX,bilibili,6167,3420,2747,0,"500,000 .. 1,000,000",514,0,539,0,0,0,0,5,,,
232910,232910,TrackMania² Stadium,Nadeo,Ubisoft,6164,5460,704,0,"500,000 .. 1,000,000",746,0,399,0,999,999,0,137,,,
1259980,1259980,RIDE 4,Milestone S.r.l.,Milestone S.r.l.,6033,4750,1283,0,"200,000 .. 500,000",630,123,380,222,4999,4999,0,449,,,
578330,578330,LEGO City Undercover,Traveller's Tales,TT Games,5860,5186,674,0,"500,000 .. 1,000,000",776,0,991,0,1999,1999,0,292,,,
457330,457330,High Octane Drift,Cruderocks,Cruderocks,5854,3236,2618,0,"1,000,000 .. 2,000,000",85,0,22,0,0,0,0,14,,,
365960,365960,rFactor 2,Studio 397,Studio 397,5841,4716,1125,0,"200,000 .. 500,000",3920,136,5031,136,3199,3199,0,629,,,
515220,515220,F1 2017,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux), Electronic Arts",5831,5063,768,0,"200,000 .. 500,000",1361,23,930,23,0,0,0,113,,,
1692250,1692250,F1 22,Codemasters,Electronic Arts,5756,3760,1996,0,"100,000 .. 200,000",1022,983,1314,1195,5999,5999,0,14606,,,
410340,410340,Liftoff: FPV Drone Racing,LuGus Studios,LuGus Studios,5712,5319,393,0,"200,000 .. 500,000",995,0,1059,0,1999,1999,0,234,,,
235800,235800,Audiosurf 2,Dylan Fitterer,Dylan Fitterer,5683,4664,1019,0,"200,000 .. 500,000",504,0,168,0,1499,1499,0,24,,,
250340,250340,Blockland,"Eric Hartman, Ben Garney, Anthony Rotondo",Step 1 Games LLC,5542,4041,1501,0,"200,000 .. 500,000",1329,0,750,0,999,999,0,33,,,
703860,703860,GRID,Codemasters,"Codemasters, Electronic Arts",5466,3662,1804,0,"200,000 .. 500,000",1015,1,287,1,1999,1999,0,78,,,
1038250,1038250,DIRT 5,Codemasters,"Codemasters, Electronic Arts",5225,2729,2496,0,"100,000 .. 200,000",236,0,259,0,5999,5999,0,52,,,
523780,523780,Emily is Away Too,Kyle Seeley,Kyle Seeley,5080,4758,322,0,"200,000 .. 500,000",253,0,272,0,499,499,0,8,,,
263760,263760,Turbo Dismount,Secret Exit Ltd.,Secret Exit Ltd.,5035,4679,356,0,"200,000 .. 500,000",535,34,281,34,999,999,0,28,,,
1071870,1071870,Biped,NEXT Studios,"NEXT Studios, bilibili, META Publishing",4941,4406,535,0,"200,000 .. 500,000",256,0,248,0,1499,1499,0,88,,,
270850,270850,Car Mechanic Simulator 2014,"PlayWay S.A., Red Dot Games",PlayWay S.A.,4851,4021,830,0,"500,000 .. 1,000,000",169,0,120,0,699,699,0,6,,,
314020,314020,Morphopolis,"Dan  Walters, Ceri Williams",Dan  Walters,4750,3957,793,0,"200,000 .. 500,000",155,0,160,0,399,399,0,1,,,
315430,315430,Polarity,Bluebutton Games,Bluebutton Games,4746,3790,956,0,"500,000 .. 1,000,000",176,0,155,0,1299,1299,0,1,,,
1066890,1066890,Automobilista 2,Reiza Studios,Reiza Studios,4732,4242,490,0,"200,000 .. 500,000",114,0,193,0,3999,3999,0,385,,,
104200,104200,BEEP,Big Fat Alien,Big Fat Alien,4674,3961,713,0,"500,000 .. 1,000,000",155,0,150,0,199,199,0,1,,,
382560,382560,Hot Lava,Klei Entertainment,Klei Entertainment,4650,4346,304,0,"200,000 .. 500,000",500,0,568,0,1999,1999,0,31,,,
621830,621830,WRC 7 FIA World Rally Championship,KT Racing,Nacon,4579,3456,1123,0,"200,000 .. 500,000",436,0,301,0,299,1999,85,227,,,
1328660,1328660,Need for Speed Hot Pursuit Remastered,Stellar Entertainment Limited,Electronic Arts,4454,3546,908,0,"200,000 .. 500,000",478,59,686,59,2999,2999,0,133,,,
391040,391040,F1 2016,"Codemasters, Feral Interactive (Mac)","Codemasters, Feral Interactive (Mac), Electronic Arts",4446,3799,647,0,"200,000 .. 500,000",1301,0,1208,0,0,0,0,50,,,
441870,441870,OutDrive,DNVR Prod,DNVR Prod,4423,3364,1059,0,"200,000 .. 500,000",151,0,148,0,299,299,0,9,,,
759740,759740,RIDE 3,Milestone S.r.l.,Milestone S.r.l.,4408,3637,771,0,"200,000 .. 500,000",816,0,982,0,3999,3999,0,51,,,
1520370,1520370,Mon Bazou,Santa Goat,Santa Goat,4382,4234,148,0,"100,000 .. 200,000",2582,1608,4586,1608,1399,1399,0,534,,,
1911390,1911390,Knightfall: A Daring Journey,Landfall,Landfall,4363,3988,375,0,"100,000 .. 200,000",247,0,357,0,599,599,0,84,,,
1238080,1238080,Burnout Paradise Remastered,"Stellar Entertainment, Criterion Games",Electronic Arts,4323,2707,1616,0,"200,000 .. 500,000",1614,0,1660,0,1999,1999,0,40,,,
302590,302590,Of Guards And Thieves,"Subvert Games, Polygon Moon","Subvert Games, Polygon Moon",4239,3621,618,0,"500,000 .. 1,000,000",164,0,80,0,0,0,0,21,,,
