_key,appid,name,developer,publisher,score_rank,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,divisão,initialprice,discount,ccu
1604210,1604210,Grid Slayer,Otis Miller,Fire Cycle Games,,19,17,2,0,"0 .. 20,000",0,0,0,0,1199,"11,99",1199,0,1
1606210,1606210,Heck Deck,torcado,PID Games,,33,31,2,0,"0 .. 20,000",0,0,0,0,399,"3,99",399,0,0
1608040,1608040,Castle Morihisa,Smokingbear Studio,Thermite Games,,324,235,89,0,"0 .. 20,000",0,0,0,0,1499,"14,99",1499,0,4
1608200,1608200,The Far Kingdoms: Forgotten Relics,Lazy Turtle,HH-Games,,10,8,2,0,"0 .. 20,000",0,0,0,0,599,"5,99",599,0,1
1611300,1611300,Happy Guy,HappyGames,HappyGames,,504,401,103,0,"20,000 .. 50,000",0,0,0,0,299,"2,99",299,0,6
1611640,1611640,Toverblade,Sokpop Collective,Sokpop Collective,,9,9,0,0,"0 .. 20,000",0,0,0,0,599,"5,99",599,0,0
1611830,1611830,TeamTower,pink rabbit,pink rabbit,,61,48,13,0,"20,000 .. 50,000",0,0,0,0,1999,"19,99",1999,0,0
1613530,1613530,SYRAK: the War in the Middle-East,SAA Studio,SAA Studio,,1,1,0,0,"0 .. 20,000",0,0,0,0,699,"6,99",699,0,0
1622270,1622270,COINS BATTLE,Hede,Hede,,17,2,15,0,"0 .. 20,000",0,0,0,0,99,"9,99",999,90,0
1624870,1624870,Mystery Solitaire Powerful Alchemist,Somer Games,8floor,,3,3,0,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,0
1624890,1624890,Mystery Solitaire Grimm's Tales 3,Somer Games,8floor,,2,2,0,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,2
1624940,1624940,Restaurant Solitaire Delicious Lunch,Somer Games,8floor,,1,1,0,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,0
1624960,1624960,Solitaire Bonbon,Somer Games,8floor,,2,2,0,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,0
1625710,1625710,ANIME MATCH,Miss Pasture,Miss Pasture,,7,7,0,0,"0 .. 20,000",0,0,0,0,199,"1,99",199,0,0
1631200,1631200,Hi Poker 3D:Texas Holdem,Joydance Studio,Joydance Studio,,6,2,4,0,"0 .. 20,000",0,0,0,0,999,"9,99",999,0,0
1632330,1632330,Calamity Eliminator,White Knight,White Knight,,32,25,7,0,"0 .. 20,000",0,0,0,0,799,"7,99",799,0,1
