_key,appid,name,developer,publisher,score_rank,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,divisão,initialprice,discount,ccu,,
286100,286100,You Have to Win the Game,Minor Key Games,Minor Key Games,,5579,5190,389,0,"200,000 .. 500,000",111,0,37,0,0,0,0,0,5,,
288120,288120,Dungeonmans,Adventurepro Games LLC,Adventurepro Games LLC,,936,858,78,0,"100,000 .. 200,000",0,0,0,0,499,"4,99",499,0,7,,
290890,290890,You Must Build A Boat,EightyEightGames,EightyEightGames,,967,802,165,0,"100,000 .. 200,000",1520,0,1494,0,499,"4,99",499,0,4,,
291190,291190,Heroes of Steel RPG,Trese Brothers,Trese Brothers,,251,197,54,0,"100,000 .. 200,000",336,0,597,0,999,"9,99",999,0,2,,
292820,292820,Pajama Sam 4: Life Is Rough When You Lose Your Stuff!,Humongous Entertainment,"Humongous Entertainment, Nightdive Studios",,120,46,74,0,"20,000 .. 50,000",188,0,188,0,699,"6,99",699,0,2,,
293240,293240,Cosmochoria,Nate Schmold,30/30,,458,411,47,0,"20,000 .. 50,000",321,0,393,0,999,"9,99",999,0,0,,
293740,293740,Road Not Taken,Spry Fox LLC,Spry Fox LLC,,326,269,57,0,"50,000 .. 100,000",198,0,199,0,1499,"14,99",1499,0,0,,
293780,293780,Crawl,Powerhoof,Powerhoof,,6011,5708,303,0,"500,000 .. 1,000,000",235,0,280,0,1499,"14,99",1499,0,35,,
294040,294040,Loot Hero DX,VaragtP,VaragtP,,1411,1045,366,0,"200,000 .. 500,000",291,0,244,0,299,"2,99",299,0,1,,
294370,294370,Crowntakers,Bulwark Studios,Kasedo Games,,610,455,155,0,"50,000 .. 100,000",139,0,179,0,999,"9,99",999,0,5,,
294660,294660,Putt-Putt Saves The Zoo,Humongous Entertainment,"Humongous Entertainment, Nightdive Studios",,576,555,21,0,"20,000 .. 50,000",101,0,40,0,699,"6,99",699,0,21,,
295590,295590,Hero Generations,Heart Shaped Games LLC,Heart Shaped Games LLC,,214,119,95,0,"20,000 .. 50,000",270,0,270,0,599,"5,99",599,0,0,,
295670,295670,Hive Jump,Graphite Lab,Graphite Lab,,363,258,105,0,"100,000 .. 200,000",452,0,452,0,1999,"19,99",1999,0,1,,
295770,295770,Rogue Shooter: The FPS Roguelike,Hippomancer,Hippomancer,,359,268,91,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,0,,
295870,295870,The Dungeoning,Nick Donnelly,Nick Donnelly,,72,51,21,0,"0 .. 20,000",0,0,0,0,399,"3,99",399,0,0,,
296050,296050,Battlepaths,Key17 Games,Digerati,,842,585,257,0,"200,000 .. 500,000",315,0,279,0,299,"2,99",299,0,3,,
296710,296710,Monstrum,Team Junkfish,Junkfish Limited,,2716,2484,232,0,"200,000 .. 500,000",2535,0,254,0,1799,"17,99",1799,0,22,,
296930,296930,Ascendant,Hapa Games,Hapa Games,,202,158,44,0,"20,000 .. 50,000",208,0,331,0,0,0,0,0,0,,
296970,296970,Renowned Explorers: International Society,Abbey Games,Abbey Games,,2667,2460,207,0,"200,000 .. 500,000",628,0,437,0,1999,"19,99",1999,0,21,,
297120,297120,Heavy Bullets,"Terri Vellmann, Doseone",Devolver Digital,,1417,1164,253,0,"100,000 .. 200,000",73,0,79,0,999,"9,99",999,0,3,,
297130,297130,Titan Souls,Acid Nerve,Devolver Digital,,10504,8256,2248,0,"500,000 .. 1,000,000",109,0,36,0,1499,"14,99",1499,0,29,,
297210,297210,Famaze,Oryx Design Lab,Oryx Design Lab,,380,303,77,0,"100,000 .. 200,000",65,0,84,0,0,0,0,0,0,,
298560,298560,Captain Forever Remix,"Pixelsaurus Games, Future Crayon",Pixelsaurus Games,,360,292,68,0,"20,000 .. 50,000",582,0,596,0,999,"9,99",999,0,1,,
298630,298630,The Escapists,Mouldy Toof Studios,Team17,,15243,13751,1492,0,"1,000,000 .. 2,000,000",712,0,298,0,449,"17,99",1799,75,83,,
299480,299480,Rogue Stormers,Black Forest Games,"HandyGames, Black Forest Games",,952,655,297,0,"200,000 .. 500,000",143,0,136,0,1999,"19,99",1999,0,2,,
299600,299600,Dragon Fin Soup,"Grimm Bros, LLC","Grimm Bros, LLC",,283,165,118,0,"50,000 .. 100,000",179,0,179,0,1999,"19,99",1999,0,0,,
299780,299780,Noir Syndrome,Glass Knuckle Games,Glass Knuckle Games,,177,117,60,0,"20,000 .. 50,000",183,0,183,0,499,"4,99",499,0,0,,
300380,300380,Road Redemption,"EQ-Games , Pixel Dash Studios",Tripwire Presents,,10298,8415,1883,0,"500,000 .. 1,000,000",180,0,173,0,1999,"19,99",1999,0,32,,
